Time	Target	Distance	Bearing
5	22	35,3187	110,968
===========================================
5,1	5	36,5218	209,903
5,1	9	29,3756	5,77976
5,1	16	8,82948	39,2024
5,1	18	26,5312	282,654
5,1	19	26,3243	104,136
5,1	20	38,0229	24,7271
5,1	22	35,1558	110,639
===========================================
5,2	5	38,8664	213,056
5,2	9	29,941	7,25478
5,2	16	9,87191	40,6837
5,2	18	26,6521	281,037
5,2	19	27,1158	103,009
5,2	20	39,012	24,12
5,2	22	34,994	110,306
===========================================
5,3	5	41,379	215,911
5,3	9	30,5255	8,67423
5,3	16	10,9197	41,8814
5,3	18	26,7939	279,436
5,3	19	27,9173	101,947
5,3	20	40,0053	23,5429
5,3	22	34,8334	109,971
===========================================
5,4	5	44,0484	218,492
5,4	9	31,128	10,0395
5,4	16	11,9714	42,869
5,4	18	26,9564	277,853
5,4	19	28,7278	100,944
5,4	20	41,0024	22,9939
5,4	22	34,674	109,632
===========================================
5,5	5	46,8645	220,827
5,5	9	31,7475	11,3523
5,5	16	13,026	43,6969
5,5	18	27,1393	276,29
5,5	19	29,5466	99,997
5,5	20	42,0031	22,471
5,5	22	34,5159	109,29
===========================================
5,6	5	49,8188	222,94
5,6	9	32,383	12,6141
5,6	16	14,083	44,4006
5,6	18	27,342	274,75
5,6	19	30,3731	99,101
5,6	20	43,0072	21,9724
5,6	22	34,3589	108,945
===========================================
5,7	9	33,0336	13,8269
5,7	16	15,1418	45,006
5,7	18	27,5643	273,233
5,7	19	31,2066	98,2526
5,7	20	44,0143	21,4966
5,7	22	34,2033	108,597
===========================================
5,8	9	33,6985	14,9922
5,8	16	16,2021	45,5322
5,8	18	27,8055	271,741
5,8	19	32,0466	97,4486
5,8	20	45,0244	21,0422
5,8	22	34,0489	108,246
===========================================
5,9	9	34,3767	16,1121
5,9	16	17,2636	45,9938
5,9	18	28,0652	270,276
5,9	19	32,8926	96,6858
5,9	20	46,0372	20,6077
5,9	22	33,8958	107,892
===========================================
6	9	35,0676	17,1882
6	16	18,3261	46,4018
6	18	28,343	268,839
6	19	33,7441	95,9614
6	20	47,0525	20,192
6	22	33,744	107,534
===========================================
6,1	9	35,7703	18,2224
6,1	16	19,3894	46,7652
6,1	18	28,6382	267,431
6,1	19	34,6007	95,2727
6,1	20	48,0702	19,7938
6,1	22	33,5935	107,173
===========================================
6,2	9	36,4843	19,2164
6,2	16	20,4534	47,0907
6,2	18	28,9504	266,052
6,2	19	35,4621	94,6174
6,2	20	49,0901	19,4121
6,2	22	33,4444	106,809
===========================================
6,3	9	37,2088	20,172
6,3	16	21,518	47,384
6,3	18	29,2789	264,703
6,3	19	36,3279	93,9932
6,3	22	33,2966	106,442
===========================================
6,4	9	37,9433	21,0908
6,4	16	22,5831	47,6497
6,4	18	29,6234	263,385
6,4	19	37,1979	93,3982
6,4	22	33,1502	106,071
===========================================
6,5	9	38,6871	21,9746
6,5	16	23,6487	47,8914
6,5	18	29,9831	262,098
6,5	19	38,0716	92,8304
6,5	22	33,0053	105,697
===========================================
6,6	9	39,4398	22,8248
6,6	16	24,7146	48,1123
6,6	18	30,3576	260,842
6,6	19	38,9489	92,2882
6,6	22	32,8617	105,32
===========================================
6,7	9	40,2009	23,6429
6,7	16	25,7809	48,3149
6,7	18	30,7464	259,617
6,7	19	39,8296	91,7699
6,7	22	32,7196	104,94
===========================================
6,8	9	40,9698	24,4306
6,8	16	26,8474	48,5014
6,8	18	31,1488	258,423
6,8	19	40,7134	91,274
6,8	22	32,5789	104,556
===========================================
6,9	9	41,7462	25,189
6,9	16	27,9143	48,6737
6,9	18	31,5644	257,261
6,9	19	41,6001	90,7993
6,9	22	32,4397	104,169
===========================================
7	9	42,5297	25,9197
7	16	28,9813	48,8333
7	18	31,9927	256,128
7	19	42,4895	90,3444
7	22	32,302	103,779
===========================================
7,1	9	43,3198	26,6238
7,1	16	30,0486	48,9815
7,1	18	32,4331	255,027
7,1	19	43,3815	89,9082
7,1	22	32,1658	103,385
===========================================
7,2	9	44,1162	27,3025
7,2	16	31,116	49,1196
7,2	18	32,8852	253,955
7,2	19	44,2759	89,4895
7,2	22	32,0311	102,988
===========================================
7,3	9	44,9186	27,9572
7,3	16	32,1837	49,2485
7,3	18	33,3485	252,912
7,3	19	45,1726	89,0875
7,3	22	31,898	102,588
===========================================
7,4	9	45,7267	28,5887
7,4	16	33,2515	49,3691
7,4	18	33,8225	251,899
7,4	19	46,0714	88,7012
7,4	22	31,7665	102,184
===========================================
7,5	9	46,5401	29,1983
